PV,Tem
0,-13.54
0,-13.35
0,-13.12
0,-13.19
0,-13.54
0,-13.75
0,-13.85
12.4,-13.64
98.03,-11.96
167.85,-9.26
257.92,-7.48
276.75,-6.73
277.7,-6.49
205.77,-6.37
146.93,-6.7
55.72,-8.21
0,-10.91
0,-13.11
0,-13.85
0,-13.1
0,-12.14
0,-11.68
0,-11.5
0,-11.85
0,-12.24
0,-12.63
0,-12.81
0,-13.49
0,-14.03
0,-14.71
0,-15.56
18.35,-15.91
91.9,-14.62
183.38,-12.69
205.52,-11.24
270.45,-10.43
250.55,-10.18
200.4,-10.17
140.5,-10.38
63.1,-11.6
0,-13.34
0,-14.5
0,-15.03
0,-15.27
0,-15.55
0,-15.51
0,-15.25
0,-14.95
0,-14.4
0,-14.14
0,-14.39
0,-14.93
0,-15.19
0,-15.31
0,-15.71
19.65,-15.86
152.48,-14.2
293.02,-11.65
255.57,-10.24
375.9,-9.68
269.95,-9.36
238.5,-9.23
135.77,-9.58
51.88,-11.33
0,-13.74
0,-15.15
0,-15.77
0,-15.38
0,-15.22
0,-15.63
0,-15.68
0,-15.46
0,-15.32
0,-15.34
0,-15.24
0,-15.3
0,-15.51
0,-15.63
0,-15.64
12.23,-15.44
117.68,-14.11
240.12,-12.05
226.65,-10.5
305.52,-9.86
368.75,-9.89
215.05,-10.25
156.55,-10.88
69.12,-12.44
0,-14.58
0,-15.57
0,-16.04
0,-16.18
0,-16.14
0,-16.12
0,-16.21
0,-16.47
0,-16.84
0,-17.34
0,-17.87
0,-18.15
0,-18.26
0,-18.37
0,-18.47
10.43,-18.2
88.6,-16.41
219.95,-14.45
205.62,-13.4
270.7,-12.85
223.3,-12.41
292.7,-11.91
183.6,-11.68
43.65,-12.83
2.58,-15.06
0,-16.2
0,-16.74
0,-16.68
0,-16.27
0,-15.87
0,-15.85
0,-16.36
0,-16.79
0,-16.86
0,-16.57
0,-16.33
0,-16.39
0,-16.59
0,-16.87
15.18,-17.05
129.48,-15.51
198.15,-13.07
317.48,-11.1
278.73,-10.24
295.33,-9.97
218.27,-9.95
163.02,-10.26
57.92,-11.9
3.75,-14.23
0,-15.2
0,-15.33
0,-14.89
0,-14.61
0,-14.37
0,-14.52
0,-14.97
0,-15.31
0,-15.37
0,-15.19
0,-15.31
0,-15.67
0,-16
0,-16.25
13.88,-16.29
120.85,-14.91
209.4,-12.44
253.07,-10.58
329.95,-9.72
305.02,-9.4
268.92,-9.2
189.75,-9.34
56.47,-11.15
3.25,-13.77
0,-14.54
0,-14.69
0,-14.15
0,-13.89
0,-14.28
0,-14.9
0,-15.4
0,-15.64
0,-15.5
0,-15.09
0,-14.86
0,-14.89
0,-14.95
0,-14.83
15.27,-14.6
102,-13.31
232.15,-11.1
332,-9.29
300.38,-8.32
278.27,-7.92
275.12,-7.71
149.3,-7.89
30.38,-9.7
2.9,-12.22
0,-13.46
0,-13.72
0,-13.58
0,-13.58
0,-13.49
0,-13.34
0,-13.29
0,-13.49
0,-13.89
0,-14.24
0,-14.48
0,-14.61
0,-14.6
0,-14.85
15.8,-15.35
105.3,-14.4
258.75,-12.14
216.48,-10.71
367.7,-10.3
298.6,-9.95
247.77,-9.67
192.75,-9.9
57.12,-11.45
4.32,-13.72
0,-14.73
0,-15.33
0,-15.47
0,-15.33
0,-14.89
0,-14.4
0,-14.18
0,-14.13
0,-14.16
0,-14.57
0,-15.3
0,-15.99
0,-16.45
0,-16.81
15.05,-16.74
127.57,-14.59
269.6,-11.86
355.45,-9.93
288.88,-8.92
309.98,-8.07
321.4,-7.58
206.82,-7.67
65.43,-9.47
4.45,-11.95
0,-12.94
0,-13.28
0,-12.81
0,-12.84
0,-13.33
0,-13.45
0,-13.24
0,-12.94
0,-12.71
0,-12.6
0,-12.61
0,-12.83
0,-13.26
0,-13.75
16.5,-14.12
122.97,-12.71
287.8,-9.94
272.73,-8.63
279.83,-7.55
374.4,-6.29
263.42,-5.92
148.98,-6.31
61.47,-8.33
4.7,-10.38
0,-11.29
0,-11.86
0,-12.31
0,-12.57
0,-12.43
0,-12.35
0,-12.56
0,-12.9
0,-13.18
0,-12.99
0,-12.73
0,-12.5
0,-12.37
0,-12.41
9,-12.45
122.88,-10.86
266.7,-7.84
297.8,-5.35
360.33,-4.27
309.5,-3.86
316.58,-3.62
188.62,-3.65
59.25,-5.74
5.12,-7.81
0,-8.56
0,-8.88
0,-8.82
0,-7.9
0,-6.97
0,-7.27
0,-8.45
0,-9.11
0,-8.98
0,-9.26
0,-10.21
0,-10.53
0,-9.61
0,-9.68
10.3,-11.66
67.47,-10.87
141.4,-8.16
152.52,-5.8
167,-5.05
242.32,-5.5
142.32,-6.39
75.25,-7.57
46.97,-8.91
5.03,-9.92
0,-10.37
0,-10.53
0,-10.65
0,-10.82
0,-11.04
0,-11.35
0,-11.73
0,-11.94
0,-12.1
0,-12.47
0,-13.12
0,-13.97
0,-14.69
0,-15.15
19.77,-15.13
130.35,-12.99
267.12,-10.31
334.38,-7.72
405.52,-6.39
357.55,-5.62
362.62,-5.43
237.23,-5.97
79.47,-7.96
9.05,-10.61
0,-11.42
0,-11.75
0,-11.69
0,-11.49
0,-11.37
0,-11.29
0,-11.24
0,-11.16
0,-11.14
0,-11.24
0,-11.48
0,-11.59
0,-11.57
0,-11.51
20.38,-11.26
143.07,-9.88
234.82,-7.55
308.73,-5.9
342.23,-5.07
319.38,-4.59
274.6,-4.38
175.35,-4.64
67.82,-6.41
5.4,-8.56
0,-9.3
0,-9.38
0,-9.01
0,-8.9
0,-9.15
0,-9.63
0,-10.05
0,-10.47
0,-10.25
0,-9.72
0,-9.46
0,-9.59
0,-9.94
0,-10.3
20.45,-10.23
114.22,-8.51
240.32,-5.55
245.82,-3.71
377.65,-2.83
324.25,-2.4
246.57,-2.37
122.07,-2.97
57.12,-5.25
4.32,-7.52
0,-8.51
0,-9.17
0,-9.46
0,-9.21
0,-8.78
0,-8.58
0,-8.9
0,-9.35
0,-9.39
0,-9.1
0,-9.06
0,-9.22
0,-8.98
0,-8.52
18.23,-8.64
105.82,-8.54
261.83,-6.58
326,-5.15
317.25,-4.25
263.83,-3.68
